image_path,class_name,labels,feature_vector,x,y
/kaggle/input/van-gogh-paintings/Arles/The Baby Marcelle Roulin 3.jpg,Arles,1,"[-0.01394159 -0.08226652  0.42865086 ... -0.07674949 -0.03546512
 -0.01937317]",8.841568,-2.775674
/kaggle/input/van-gogh-paintings/Arles/Three Sunflowers in a Vase.jpg,Arles,1,"[-0.04445058  0.04967071  1.0795664  ... -0.13834342 -0.07767398
 -0.15145741]",1.6205475,0.9120784
/kaggle/input/van-gogh-paintings/Arles/Ploughed Field.jpg,Arles,1,"[-0.144331    0.39981973 -0.1896392  ...  0.0239222   0.19407822
 -0.04117874]",-9.33711,-4.1577196
/kaggle/input/van-gogh-paintings/Arles/Portrait of the Postman Joseph Roulin 6.jpg,Arles,1,"[-0.06499217  0.09556849  0.06455079 ... -0.0912517  -0.12758535
  0.17415869]",18.145416,-1.569106
/kaggle/input/van-gogh-paintings/Arles/Still Life French Novels.jpg,Arles,1,"[-0.14749265 -0.04363978  0.89293396 ... -0.12073454 -0.01709431
 -0.07958262]",2.1939228,-8.109316
"/kaggle/input/van-gogh-paintings/Arles/Still Life Blue Enamel Coffeepot, Earthenware and Fruit.jpg",Arles,1,"[-0.18505909  0.07507301  0.09848677 ... -0.18928206 -0.18940637
 -0.13726257]",2.0785046,4.8222184
/kaggle/input/van-gogh-paintings/Arles/Portrait of the Postman Joseph Roulin 7.jpg,Arles,1,"[-0.04071127  0.09955617  0.17548199 ... -0.13368852 -0.21653219
  0.07939019]",17.976805,-1.5183275
/kaggle/input/van-gogh-paintings/Arles/Orchard in Blossom 2.jpg,Arles,1,"[-0.20375921  0.07775424  0.32399002 ...  0.01148663  0.28406015
  0.4579223 ]",-7.102731,-2.110755
/kaggle/input/van-gogh-paintings/Arles/Two Crabs.jpg,Arles,1,"[-0.08347302  1.2114438   0.70532143 ... -0.11465366  0.0837354
  0.6249266 ]",7.725385,4.58669
/kaggle/input/van-gogh-paintings/Arles/Farmhouses in a Wheat Field Near Arles.jpg,Arles,1,"[-0.04815795  0.50708246  0.56449795 ... -0.05524598  0.03835385
  0.40304816]",-8.187394,-3.362206
/kaggle/input/van-gogh-paintings/Arles/View of Arles with Trees in Blossom.jpg,Arles,1,"[-0.08979779 -0.11406289  0.2481874  ...  0.03069849  0.71236104
  0.66975534]",-4.387518,-1.7696745
/kaggle/input/van-gogh-paintings/Arles/Orchard in Blossom Plum Trees.jpg,Arles,1,"[-0.17735301 -0.09362388  0.3060716  ... -0.05327728  0.35275713
  0.22394699]",-11.613907,-3.9353316
/kaggle/input/van-gogh-paintings/Arles/Canal with Women Washing.jpg,Arles,1,"[-0.04932792  0.71582544  0.7542694  ... -0.0487987  -0.02237484
  0.12628686]",-7.293229,-9.541788
"/kaggle/input/van-gogh-paintings/Arles/Portrait of Patience Escalier, Shepherd in Provence.jpg",Arles,1,"[ 0.09679454 -0.12918223 -0.15950538 ... -0.15322356 -0.06073274
  0.00151829]",12.406604,-1.9566987
/kaggle/input/van-gogh-paintings/Arles/Tarascon Diligence.jpg,Arles,1,"[ 0.51270473 -0.11225361  0.19611728 ... -0.2010189  -0.13839579
  0.00455633]",0.41665268,-12.4359865
"/kaggle/input/van-gogh-paintings/Arles/Still Life Bottle, Lemons and Oranges.jpg",Arles,1,"[-0.18762244  0.7058736   0.39349645 ... -0.17754737  0.01824319
  0.09880176]",8.675603,-7.553959
